analysis_id	analysis_type	chains	iterations_per_chain	warmup_per_chain	post_warmup_draws	seed	elapsed_seconds	divergent_transitions	maximum_treedepth_hits	maximum_rhat	minimum_effective_sample_size	target_lineage_rhat	target_lineage_effective_sample_size	diagnostic_pass
country_AUS_project_adjusted	country_only	4	2000	1000	4000	20261400	130.126	0	0	1.00242299746689	1631.18772367466	1.00287183807499	1265.82156208404	TRUE
country_AUS_no_project	country_only	4	2000	1000	4000	20261500	123.496	0	0	1.00487073632871	1729.44143157065	0.999918542288485	1478.28738595784	TRUE
country_CHN_project_adjusted	country_only	4	2000	1000	4000	20261600	145.27	0	0	1.00158970742667	1928.10242874401	1.00102663284709	2292.02015697071	TRUE
country_CHN_no_project	country_only	4	2000	1000	4000	20261700	189.518	0	0	1.00125545052497	1745.95957085852	0.999379167429826	2466.20599129924	TRUE
country_JPN_project_adjusted	country_only	4	2000	1000	4000	20261800	101.435	0	0	1.00169021620249	1486.95070201571	1.00272846927562	1214.93743861637	TRUE
country_JPN_no_project	country_only	4	2000	1000	4000	20261900	104.749	0	0	1.00116750123095	1872.56380277064	1.00030112446203	1384.66624405404	TRUE
omit_country_AUS	country_omission	4	2000	1000	4000	20262000	292.639	0	0	1.00139684943578	1665.79525516151	1.0025583590889	2246.30779077232	TRUE
omit_country_CHN	country_omission	4	2000	1000	4000	20262100	287.593	0	0	1.00232917440582	1581.95310660187	1.00076126023923	2678.01140433947	TRUE
omit_country_JPN	country_omission	4	4000	2000	8000	20263400	968.163	0	0	1.00220705668189	2386.7510070182	0.999841299893477	8259.82817664538	TRUE
omit_country_AUS_no_project	country_omission	4	2000	1000	4000	20262400	371.75	0	0	1.00137037256526	1358.81957599221	1.00023196028279	1840.052760332	TRUE
omit_country_CHN_no_project	country_omission	4	2000	1000	4000	20262500	346.019	0	0	1.00126120747806	1362.16834494854	0.999979019615834	3331.30966668618	TRUE
omit_country_JPN_no_project	country_omission	4	2000	1000	4000	20262600	360.387	0	0	1.00303362654211	1336.63641893902	1.00109417965612	4087.18686951982	TRUE
omit_dominant_project_AUS	dominant_project_omission	4	2000	1000	4000	20262200	388.716	0	0	1.0019681382194	1611.62359707421	1.00210300685677	1402.05502259542	TRUE
omit_dominant_project_CHN	dominant_project_omission	4	2000	1000	4000	20262300	379.991	0	0	1.00615526278219	1098.46609446511	1.00183567233547	2746.25393859377	TRUE
omit_dominant_project_JPN	dominant_project_omission	4	2000	1000	4000	20262400	455.502	0	0	1.00245690614182	1211.50029480652	0.999986804817137	3220.39867446171	TRUE
