tree_sample_id	country_iso3	epidemic_period	primary_model_lineage_id	strongest_event_id	strongest_transition_support	strongest_post_event_id	strongest_post_transition_support	post_reseeding_support	local_persistence_support	normalised_post_import_support
AUS__SAMEA751508	AUS	prepandemic	Other	NODE_0003->NODE_0002:AUS	0.5985418337263537		0.0	0.0	1.0	0.0
AUS__SAMEA751513	AUS	prepandemic	Other	NODE_0006->AUS__SAMEA751513:AUS	0.9999894302864649		0.0	0.0	1.0	0.0
AUS__SAMEA751511	AUS	prepandemic	Other	NODE_0003->NODE_0002:AUS	0.5985418337263537		0.0	0.0	1.0	0.0
AUS__SAMEA751512	AUS	prepandemic	Other	NODE_0011->AUS__SAMEA751512:AUS	0.9967632912766728		0.0	0.0	1.0	0.0
AUS__SAMEA751183	AUS	prepandemic	Other	NODE_0763->AUS__SAMEA751183:AUS	0.8819426034987683		0.0	0.0	1.0	0.0
AUS__SAMEA751337	AUS	prepandemic	L1_02.05	NODE_0015->AUS__SAMEA751337:AUS	0.9381786206852107		0.0	0.0	1.0	0.0
AUS__SAMEA751155	AUS	prepandemic	L1_02.05	NODE_0015->AUS__SAMEA751155:AUS	0.9381786206852107		0.0	0.0	1.0	0.0
AUS__SAMEA751475	AUS	prepandemic	Other	NODE_0762->AUS__SAMEA751475:AUS	0.881942826614476		0.0	0.0	1.0	0.0
AUS__SAMEA751476	AUS	prepandemic	L1_02.05	NODE_0018->AUS__SAMEA751476:AUS	0.9962054908899506		0.0	0.0	1.0	0.0
AUS__SAMEA751477	AUS	prepandemic	L1_02.05	NODE_0761->AUS__SAMEA751477:AUS	0.9996677030235082		0.0	0.0	1.0	0.0
AUS__SAMN18200432	AUS	prepandemic	L1_02.05	NODE_0043->AUS__SAMN18200432:AUS	0.9998105461682195		0.0	0.0	1.0	0.0
AUS__SAMN22857989	AUS	prepandemic	L1_02.06	NODE_0190->AUS__SAMN22857989:AUS	0.9999372703968495		0.0	0.0	1.0	0.0
AUS__SAMN22858044	AUS	prepandemic	L1_02.06	NODE_0738->NODE_0739:AUS	0.4929380776041511		0.0	0.0	1.0	0.0
AUS__SAMN22857945	AUS	prepandemic	L1_02.06	NODE_0738->AUS__SAMN22857945:AUS	0.5593260938123275		0.0	0.0	1.0	0.0
AUS__SAMN22858020	AUS	prepandemic	L1_02.05	NODE_0157->AUS__SAMN22858020:AUS	0.9777132625997192		0.0	0.0	1.0	0.0
AUS__SAMN22858066	AUS	prepandemic	L1_02.06	NODE_0738->NODE_0739:AUS	0.4929380776041511		0.0	0.0	1.0	0.0
AUS__SAMN22858115	AUS	prepandemic	L1_02.06	NODE_0319->AUS__SAMN22858115:AUS	0.9811919720694103		0.0	0.0	1.0	0.0
AUS__SAMN18200430	AUS	prepandemic	L1_02.05	NODE_0071->AUS__SAMN18200430:AUS	0.9999451353597288		0.0	0.0	1.0	0.0
AUS__SAMN22858161	AUS	prepandemic	L1_02.05	NODE_0150->NODE_0151:AUS	0.931113663048232		0.0	0.0	1.0	0.0
AUS__SAMN22858166	AUS	prepandemic	L1_02.05	NODE_0150->NODE_0151:AUS	0.931113663048232		0.0	0.0	1.0	0.0
AUS__SAMN22858150	AUS	prepandemic	L1_02.05	NODE_0150->NODE_0151:AUS	0.931113663048232		0.0	0.0	1.0	0.0
AUS__SAMN22858181	AUS	prepandemic	L1_02.06	NODE_0680->NODE_0681:AUS	0.8720400901694901		0.0	0.0	1.0	0.0
AUS__SAMN45810521	AUS	prepandemic	L1_02.05	NODE_0150->NODE_0151:AUS	0.931113663048232		0.0	0.0	1.0	0.0
AUS__SAMN08443709	AUS	prepandemic	L1_02.06	NODE_0693->NODE_0694:AUS	0.9876620532867931		0.0	0.0	1.0	0.0
AUS__SAMN08443715	AUS	prepandemic	L1_01.02	NODE_0775->AUS__SAMN08443715:AUS	0.9969521233604284		0.0	0.0	1.0	0.0
AUS__SAMN07235949	AUS	prepandemic	L1_02.06	NODE_0682->NODE_0683:AUS	0.8495631714018455		0.0	0.0	1.0	0.0
AUS__SAMN08443734	AUS	prepandemic	L1_02.06	NODE_0742->AUS__SAMN08443734:AUS	0.8000564637043264		0.0	0.0	1.0	0.0
AUS__SAMN08443746	AUS	prepandemic	L1_02.06	NODE_0201->NODE_0202:AUS	0.9999250270045879		0.0	0.0	1.0	0.0
AUS__SAMN08443742	AUS	prepandemic	L1_02.06	NODE_0693->NODE_0694:AUS	0.9876620532867931		0.0	0.0	1.0	0.0
AUS__SAMN08443767	AUS	prepandemic	L1_02.06	NODE_0682->NODE_0683:AUS	0.8495631714018455		0.0	0.0	1.0	0.0
AUS__SAMN18200431	AUS	prepandemic	L1_01.02	NODE_0793->AUS__SAMN18200431:AUS	0.5728775633902441		0.0	0.0	1.0	0.0
AUS__SAMN45810550	AUS	prepandemic	L1_02.05	NODE_0113->AUS__SAMN45810550:AUS	0.9215938093525652		0.0	0.0	1.0	0.0
AUS__SAMN08443771	AUS	prepandemic	L1_02.06	NODE_0680->NODE_0681:AUS	0.8720400901694901		0.0	0.0	1.0	0.0
AUS__SAMN08443772	AUS	prepandemic	L1_02.06	NODE_0693->NODE_0694:AUS	0.9876620532867931		0.0	0.0	1.0	0.0
AUS__SAMN45810522	AUS	prepandemic	L1_02.06	NODE_0201->NODE_0202:AUS	0.9999250270045879		0.0	0.0	1.0	0.0
AUS__SAMN45810537	AUS	prepandemic	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484		0.0	0.0	1.0	0.0
AUS__SAMN45810538	AUS	prepandemic	L1_02.06	NODE_0226->NODE_0227:AUS	0.9694466679503484		0.0	0.0	1.0	0.0
AUS__SAMN45810571	AUS	prepandemic	L1_02.06	NODE_0201->NODE_0202:AUS	0.9999250270045879		0.0	0.0	1.0	0.0
AUS__SAMN45810572	AUS	prepandemic	L1_02.06	NODE_0693->NODE_0694:AUS	0.9876620532867931		0.0	0.0	1.0	0.0
AUS__SAMN45810573	AUS	prepandemic	L1_02.06	NODE_0693->NODE_0694:AUS	0.9876620532867931		0.0	0.0	1.0	0.0
AUS__SAMN45810574	AUS	prepandemic	L1_02.06	NODE_0693->NODE_0694:AUS	0.9876620532867931		0.0	0.0	1.0	0.0
AUS__SAMN08443778	AUS	prepandemic	L1_02.06	NODE_0693->NODE_0694:AUS	0.9876620532867931		0.0	0.0	1.0	0.0
AUS__SAMN08443780	AUS	prepandemic	L1_02.06	NODE_0693->NODE_0694:AUS	0.9876620532867931		0.0	0.0	1.0	0.0
AUS__SAMN45810524	AUS	prepandemic	L1_02.06	NODE_0201->NODE_0202:AUS	0.9999250270045879		0.0	0.0	1.0	0.0
AUS__SAMN45810525	AUS	prepandemic	L1_02.06	NODE_0684->AUS__SAMN45810525:AUS	0.999082366359701		0.0	0.0	1.0	0.0
AUS__SAMN45810526	AUS	prepandemic	L1_02.06	NODE_0737->AUS__SAMN45810526:AUS	0.8251844683690064		0.0	0.0	1.0	0.0
AUS__SAMN45810527	AUS	prepandemic	L1_02.06	NODE_0693->NODE_0694:AUS	0.9876620532867931		0.0	0.0	1.0	0.0
AUS__SAMN45810528	AUS	prepandemic	L1_02.06	NODE_0201->NODE_0202:AUS	0.9999250270045879		0.0	0.0	1.0	0.0
AUS__SAMN45810529	AUS	prepandemic	L1_02.06	NODE_0308->NODE_0309:AUS	0.9515263768156667		0.0	0.0	1.0	0.0
AUS__SAMN45810539	AUS	prepandemic	L1_02.06	NODE_0201->NODE_0202:AUS	0.9999250270045879		0.0	0.0	1.0	0.0
AUS__SAMN45810546	AUS	prepandemic	L1_02.05	NODE_0086->NODE_0087:AUS	0.7915081210976236		0.0	0.0	1.0	0.0
