tree_sample_id	genome_record_id	tree_role	selection_reason	background_replicate	country_iso3	country_name	continent	date_lower	date_upper	date_resolution	year	month	project_id	preliminary_lineage_id	lineage_definition_status	sample_id	biosample_accession	assembly_accession	run_accession	sequence_acquisition	local_fasta_path	fastq_r1	fastq_r2	sequence_input_path	total_sequence_length	gc_percent	n_contigs	contig_n50	catalog_qc_status	uniform_qc_status	tree_include	data_freeze_date	fastq_ftp	fastq_bytes	library_layout	read_count	base_count	study_accession	sample_accession	collection_date	country	fastq_ftp_list	fastq_bytes_list	fastq_total_bytes	source_resolution_status	status	r1_path	r2_path	paired_records	qc_input_type	observed_length	observed_gc_percent	observed_n_fraction	observed_contigs	observed_n50	read_q30_min	uniform_qc_reason	tree_include_after_uniform_qc	root_to_tip	decimal_date	epidemic_period
AUS__SAMEA751508	AUS::SAMEA751508	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1971-01-01	1971-12-31	year	1971		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751508	SAMEA751508	GCA_001210185	ERR028860	ncbi_assembly_download					3822273	68	499	12537	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3822273	67.82445942505939	0.0008654536188283777	471	13297			True	0.004608064450000004	1971.4986301369863	prepandemic
AUS__SAMEA751513	AUS::SAMEA751513	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1974-01-01	1974-12-31	year	1974		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751513	SAMEA751513	GCA_001333815	ERR028868	ncbi_assembly_download					3813177	68	546	12195	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3813177	67.80322549936706	0.0009784492039053	497	12930			True	0.004619388650000003	1974.4986301369863	prepandemic
AUS__SAMEA751511	AUS::SAMEA751511	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1977-01-01	1977-12-31	year	1977		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751511	SAMEA751511	GCA_001203935	ERR028870	ncbi_assembly_download					3824566	68	406	15170	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3824566	67.86244504605229	0.00045495358166129174	387	15873			True	0.004520017350000004	1977.4986301369863	prepandemic
AUS__SAMEA751512	AUS::SAMEA751512	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1977-01-01	1977-12-31	year	1977		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751512	SAMEA751512	GCA_001333795	ERR028867	ncbi_assembly_download					3829345	68	342	18972	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3829345	67.88704073412032	0.0005301167693169458	305	20065			True	0.004513518250000003	1977.4986301369863	prepandemic
AUS__SAMEA751183	AUS::SAMEA751183	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1995-01-01	1995-12-31	year	1995		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751183	SAMEA751183	GCA_001206895	ERR028880	ncbi_assembly_download					3821068	68	327	18351	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3821068	67.90538666153023	0.00023579794968317758	305	19456			True	0.004519032950000002	1995.4986301369863	prepandemic
AUS__SAMEA751337	AUS::SAMEA751337	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1998-01-01	1998-12-31	year	1998		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751337	SAMEA751337	GCA_001198195	ERR028881	ncbi_assembly_download					3805015	68	521	11986	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3805015	67.76950945002845	0.0013424388602935862	466	13084			True	0.0047590760500000025	1998.4986301369863	prepandemic
AUS__SAMEA751155	AUS::SAMEA751155	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2000-01-01	2000-12-31	year	2000		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751155	SAMEA751155	GCA_001331635	ERR028882	ncbi_assembly_download					3824464	68	475	13810	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3824464	67.83910111325405	0.0006497642545465194	434	14942			True	0.004741649850000002	2000.4986338797814	prepandemic
AUS__SAMEA751475	AUS::SAMEA751475	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2000-01-01	2000-12-31	year	2000		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751475	SAMEA751475	GCA_001198375	ERR028854	ncbi_assembly_download					3829485	68	348	17525	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3829485	67.89808551280395	0.0003162305114134146	320	18621			True	0.004571291150000003	2000.4986338797814	prepandemic
AUS__SAMEA751476	AUS::SAMEA751476	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2004-01-01	2004-12-31	year	2004		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751476	SAMEA751476	GCA_900067715	ERR028857	ncbi_assembly_download					3815679	68	525	12249	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3815679	67.8286092724257	0.0006575500716910411	490	12938			True	0.004699408350000003	2004.4986338797814	prepandemic
AUS__SAMEA751477	AUS::SAMEA751477	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2004-01-01	2004-12-31	year	2004		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751477	SAMEA751477	GCA_001196975	ERR028856	ncbi_assembly_download					3816729	68	498	13077	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3816729	67.81511079251369	0.0009699404909282268	460	13382			True	0.0046764950500000025	2004.4986338797814	prepandemic
AUS__SAMN18200432	AUS::SAMN18200432	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2008-01-01	2008-12-31	year	2008		PRJNA695314	ptxP3/fim3-2	provisional_marker_or_published_annotation	SAMN18200432	SAMN18200432	GCA_017357165		ncbi_assembly_download					4104145	67.5	1	4104145	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	4104145	67.70859704030924	0.0	1	4104145			True	0.00458932875	2008.4986338797814	prepandemic
AUS__SAMN22857989	AUS::SAMN22857989	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2008-01-01	2008-12-31	year	2008		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902297	SAMN22857989	RRASM_SRR16760177	SRR16760177	local_fasta					3853767	67.83	402	20243	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3853767	67.82843903121284	0.0	402	20243			True	0.004635107349999999	2008.4986338797814	prepandemic
AUS__SAMN22858044	AUS::SAMN22858044	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2008-01-01	2008-12-31	year	2008		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902086	SAMN22858044	RRASM_SRR16760399	SRR16760399	local_fasta					3853630	67.83	403	20243	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3853630	67.83204407273142	0.0	403	20243			True	0.00461904025	2008.4986338797814	prepandemic
AUS__SAMN22857945	AUS::SAMN22857945	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2009-01-01	2009-12-31	year	2009		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902188	SAMN22857945	RRASM_SRR16760240	SRR16760240	local_fasta					3854601	67.83	405	19551	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3854601	67.83389512948293	0.0	405	19551			True	0.00469336335	2009.4986301369863	prepandemic
AUS__SAMN22858020	AUS::SAMN22858020	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2009-01-01	2009-12-31	year	2009		PRJNA562796	ptxP3/fim3-2	provisional_marker_or_published_annotation	SRS10902074	SAMN22858020	RRASM_SRR16760425	SRR16760425	local_fasta					3869499	67.81	415	19620	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3869499	67.80673673775338	0.0	415	19620			True	0.004688034850000001	2009.4986301369863	prepandemic
AUS__SAMN22858066	AUS::SAMN22858066	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2010-01-01	2010-12-31	year	2010		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902096	SAMN22858066	RRASM_SRR16760375	SRR16760375	local_fasta					3852734	67.84	395	20147	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3852734	67.83751486606654	0.0	395	20147			True	0.004626882550000001	2010.4986301369863	prepandemic
AUS__SAMN22858115	AUS::SAMN22858115	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2010-01-01	2010-12-31	year	2010		PRJNA562796	ptxP3/fim3-1	provisional_marker_or_published_annotation	SRS10902136	SAMN22858115	RRASM_SRR16760321	SRR16760321	local_fasta					3853745	67.83	387	20298	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3853745	67.8286446041448	0.0	387	20298			True	0.004635119849999999	2010.4986301369863	prepandemic
AUS__SAMN18200430	AUS::SAMN18200430	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2011-01-01	2011-12-31	year	2011		PRJNA695314	ptxP3/fim3-2	provisional_marker_or_published_annotation	SAMN18200430	SAMN18200430	GCA_017357205		ncbi_assembly_download					4109518	67.5	1	4109518	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	4109518	67.70458238654753	0.0	1	4109518			True	0.004585488149999997	2011.4986301369863	prepandemic
AUS__SAMN22858161	AUS::SAMN22858161	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2011-01-01	2011-12-31	year	2011		PRJNA562796	ptxP3/fim3-2	provisional_marker_or_published_annotation	SRS10902167	SAMN22858161	RRASM_SRR16760269	SRR16760269	local_fasta					3875216	67.77	357	20370	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3875216	67.77480274647917	0.0	357	20370			True	0.0046296010499999995	2011.4986301369863	prepandemic
AUS__SAMN22858166	AUS::SAMN22858166	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	2011-01-01	2011-12-31	year	2011		PRJNA562796	ptxP3/fim3-2	provisional_marker_or_published_annotation	SRS10902172	SAMN22858166	RRASM_SRR16760264	SRR16760264	local_fasta					3875525	67.76	379	19293	ok	PASS	True	2026-07-24												0	resolved_local_fasta					assembly	3875525	67.76408357577361	0.0	379	19293			True	0.0046761352499999995	2011.4986301369863	prepandemic
