tree_sample_id	genome_record_id	tree_role	selection_reason	background_replicate	country_iso3	country_name	continent	date_lower	date_upper	date_resolution	year	month	project_id	preliminary_lineage_id	lineage_definition_status	sample_id	biosample_accession	assembly_accession	run_accession	sequence_acquisition	local_fasta_path	fastq_r1	fastq_r2	sequence_input_path	total_sequence_length	gc_percent	n_contigs	contig_n50	catalog_qc_status	uniform_qc_status	tree_include	data_freeze_date	fastq_ftp	fastq_bytes	library_layout	read_count	base_count	study_accession	sample_accession	collection_date	country	fastq_ftp_list	fastq_bytes_list	fastq_total_bytes	source_resolution_status	status	r1_path	r2_path	paired_records	qc_input_type	observed_length	observed_gc_percent	observed_n_fraction	observed_contigs	observed_n50	read_q30_min	uniform_qc_reason	tree_include_after_uniform_qc
AUS__SAMEA751508	AUS::SAMEA751508	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1971-01-01	1971-12-31	year	1971		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751508	SAMEA751508	GCA_001210185	ERR028860	ncbi_assembly_download					3822273	68	499	12537	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3822273	67.82445942505939	0.0008654536188283777	471	13297			True
AUS__SAMEA751509	AUS::SAMEA751509	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1971-01-01	1971-12-31	year	1971		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751509	SAMEA751509	GCA_001193155	ERR028861	ncbi_assembly_download					3789469	68	742	8426	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3789469	67.72851288663398	0.001064001315223848	705	8618		contigs	False
AUS__SAMEA751513	AUS::SAMEA751513	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1974-01-01	1974-12-31	year	1974		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751513	SAMEA751513	GCA_001333815	ERR028868	ncbi_assembly_download					3813177	68	546	12195	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3813177	67.80322549936706	0.0009784492039053	497	12930			True
AUS__SAMEA751511	AUS::SAMEA751511	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1977-01-01	1977-12-31	year	1977		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751511	SAMEA751511	GCA_001203935	ERR028870	ncbi_assembly_download					3824566	68	406	15170	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3824566	67.86244504605229	0.00045495358166129174	387	15873			True
AUS__SAMEA751512	AUS::SAMEA751512	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1977-01-01	1977-12-31	year	1977		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751512	SAMEA751512	GCA_001333795	ERR028867	ncbi_assembly_download					3829345	68	342	18972	ok	PASS	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3829345	67.88704073412032	0.0005301167693169458	305	20065			True
AUS__SAMEA1931507	AUS::SAMEA1931507	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1978-01-01	1978-12-31	year	1978		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA1931507	SAMEA1931507	GCA_001201635	ERR361847	ncbi_assembly_download					3737227	67.5	894	7650	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3737227	67.27407781223886	0.006242864027258713	742	8397		contigs	False
AUS__SAMEA751499	AUS::SAMEA751499	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1982-01-01	1982-12-31	year	1982		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751499	SAMEA751499	GCA_001333675	ERR028878	ncbi_assembly_download					3506744	67.5	1930	2985	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3506744	67.11795899558109	0.002285881147868222	1873	3062		contigs;n50	False
AUS__SAMEA751479	AUS::SAMEA751479	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1989-01-01	1989-12-31	year	1989		PRJEB2274	ptxP1/fim3-1	provisional_marker_or_published_annotation	SAMEA751479	SAMEA751479	GCA_001333435	ERR028864	ncbi_assembly_download					3747450	67.5	990	6435	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3747450	67.53784573509986	0.0023658754619808138	929	6853		contigs	False
AUS__SAMEA751501	AUS::SAMEA751501	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1989-01-01	1989-12-31	year	1989		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751501	SAMEA751501	GCA_001333715		ncbi_assembly_download									ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3669606	67.29294643621141	0.003871532802159142	1319	5233		contigs	False
AUS__SAMEA751514	AUS::SAMEA751514	focal	historical_all_available_gate_rescue		AUS	Australia	Oceania	1989-01-01	1989-12-31	year	1989		PRJEB2274		provisional_marker_or_published_annotation	SAMEA751514	SAMEA751514	GCA_001212045	ERR028865	ncbi_assembly_download					3703096	67.5	1166	5749	ok	FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_ncbi_assembly					assembly	3703096	67.35920429824125	0.0039110517253670984	1066	6165		contigs	False
